Date (yyyy/mm/dd),Workout,Workout Name,Program Name,Body Weight (KG),Exercise,Sets×Reps,Sets×Time,Top Set (Reps×KG),e1RM (KG),Reps,Volume (KG),Workout Volume (KG),Duration (hours),Start Time (h:mm),End Time (h:mm),Notes,Set 1 (Reps),Set 1 (KG),Set 2 (Reps),Set 2 (KG),Set 3 (Reps),Set 3 (KG),Set 4 (Reps),Set 4 (KG),Set 5 (Reps),Set 5 (KG)
2022/09/21,1,Workout A,StrongLifts 5×5,86,Squat,5×5,,5×87.5,107.8,25,2187.5,5562.5,0.010278,11:14 am,11:15 am,"",5,87.5,5,87.5,5,87.5,5,87.5,5,87.5
2022/09/21,1,Workout A,StrongLifts 5×5,86,Bench Press,5×5,,5×77.5,95.5,25,1937.5,5562.5,0.010278,11:14 am,11:15 am,"",5,77.5,5,77.5,5,77.5,5,77.5,5,77.5
2022/09/21,1,Workout A,StrongLifts 5×5,86,Barbell Row,5×5,,5×57.5,70.9,25,1437.5,5562.5,0.010278,11:14 am,11:15 am,"",5,57.5,5,57.5,5,57.5,5,57.5,5,57.5
2022/09/24,2,Workout B,StrongLifts 5×5,86,Squat,5×5,,5×90,110.9,25,2250,4187.5,0.0022222,2:17 pm,2:18 pm,"",5,90,5,90,5,90,5,90,5,90
2022/09/24,2,Workout B,StrongLifts 5×5,86,Overhead Press,5×5,,5×52.5,64.7,25,1312.5,4187.5,0.0022222,2:17 pm,2:18 pm,"",5,52.5,5,52.5,5,52.5,5,52.5,5,52.5
2022/09/24,2,Workout B,StrongLifts 5×5,86,Deadlift,1×5,,5×125,154.1,5,625,4187.5,0.0022222,2:17 pm,2:18 pm,"",5,125,,,,,,,,
2022/09/24,3,Workout A,StrongLifts 5×5,86,Squat,5×5,,5×92.5,114,25,2312.5,5812.5,0.53611,2:23 pm,3:03 pm,"",5,92.5,5,92.5,5,92.5,5,92.5,5,92.5
2022/09/24,3,Workout A,StrongLifts 5×5,86,Bench Press,5×5,,5×80,98.6,25,2000,5812.5,0.53611,2:23 pm,3:03 pm,"",5,80,5,80,5,80,5,80,5,80
2022/09/24,3,Workout A,StrongLifts 5×5,86,Barbell Row,5×5,,5×60,73.9,25,1500,5812.5,0.53611,2:23 pm,3:03 pm,"",5,60,5,60,5,60,5,60,5,60
2022/09/26,4,Workout B,StrongLifts 5×5,86,Squat,5×5,,5×95,117.1,25,2375,4400.0,0.54417,6:13 pm,7:04 pm,"",5,95,5,95,5,95,5,95,5,95
2022/09/26,4,Workout B,StrongLifts 5×5,86,Overhead Press,5×5,,5×55,67.8,25,1375,4400.0,0.54417,6:13 pm,7:04 pm,"",5,55,5,55,5,55,5,55,5,55
2022/09/26,4,Workout B,StrongLifts 5×5,86,Deadlift,1×5,,5×130,160.2,5,650,4400.0,0.54417,6:13 pm,7:04 pm,"",5,130,,,,,,,,
2022/09/28,5,Workout A,StrongLifts 5×5,86,Squat,5×5,,5×97.5,120.2,25,2437.5,6062.5,0.69528,5:30 pm,6:36 pm,"",5,97.5,5,97.5,5,97.5,5,97.5,5,97.5
2022/09/28,5,Workout A,StrongLifts 5×5,86,Bench Press,5×5,,5×82.5,101.7,25,2062.5,6062.5,0.69528,5:30 pm,6:36 pm,"",5,82.5,5,82.5,5,82.5,5,82.5,5,82.5
2022/09/28,5,Workout A,StrongLifts 5×5,86,Barbell Row,5×5,,5×62.5,77,25,1562.5,6062.5,0.69528,5:30 pm,6:36 pm,"",5,62.5,5,62.5,5,62.5,5,62.5,5,62.5
2022/09/30,6,Workout B,StrongLifts 5×5,86,Squat,5×5,,5×100,123.3,25,2500,4612.5,0.74167,5:07 pm,11:12 pm,"",5,100,5,100,5,100,5,100,5,100
2022/09/30,6,Workout B,StrongLifts 5×5,86,Overhead Press,5×5,,5×57.5,70.9,25,1437.5,4612.5,0.74167,5:07 pm,11:12 pm,"",5,57.5,5,57.5,5,57.5,5,57.5,5,57.5
2022/09/30,6,Workout B,StrongLifts 5×5,86,Deadlift,1×5,,5×135,166.4,5,675,4612.5,0.74167,5:07 pm,11:12 pm,"",5,135,,,,,,,,
2022/10/10,7,Workout A,StrongLifts 5×5,86,Squat,5×5,,5×102.5,126.3,25,2562.5,6312.5,0.6675,6:08 pm,6:48 pm,"",5,102.5,5,102.5,5,102.5,5,102.5,5,102.5
2022/10/10,7,Workout A,StrongLifts 5×5,86,Bench Press,5×5,,5×85,104.8,25,2125,6312.5,0.6675,6:08 pm,6:48 pm,"",5,85,5,85,5,85,5,85,5,85
2022/10/10,7,Workout A,StrongLifts 5×5,86,Barbell Row,5×5,,5×65,80.1,25,1625,6312.5,0.6675,6:08 pm,6:48 pm,"",5,65,5,65,5,65,5,65,5,65
2022/10/12,8,Workout B,StrongLifts 5×5,86,Squat,Skipped,,,,0,0,2200.0,0.41722,5:55 pm,6:46 pm,"",0,105,0,105,0,105,0,105,0,105
2022/10/12,8,Workout B,StrongLifts 5×5,86,Overhead Press,5×5,,5×60,73.9,25,1500,2200.0,0.41722,5:55 pm,6:46 pm,"",5,60,5,60,5,60,5,60,5,60
2022/10/12,8,Workout B,StrongLifts 5×5,86,Deadlift,1×5,,5×140,172.6,5,700,2200.0,0.41722,5:55 pm,6:46 pm,"",5,140,,,,,,,,
2022/10/14,9,Workout A,StrongLifts 5×5,86,Squat,5×5,,5×102.5,126.3,25,2562.5,6312.5,0.86139,5:17 pm,6:21 pm,"",5,102.5,5,102.5,5,102.5,5,102.5,5,102.5
2022/10/14,9,Workout A,StrongLifts 5×5,86,Bench Press,5×5,,5×85,104.8,25,2125,6312.5,0.86139,5:17 pm,6:21 pm,"",5,85,5,85,5,85,5,85,5,85
2022/10/14,9,Workout A,StrongLifts 5×5,86,Barbell Row,5×5,,5×65,80.1,25,1625,6312.5,0.86139,5:17 pm,6:21 pm,"",5,65,5,65,5,65,5,65,5,65
2022/10/17,10,Workout B,StrongLifts 5×5,86,Squat,5×5,,5×105,129.4,25,2625,4825.0,0.7,6:35 pm,7:34 pm,"",5,105,5,105,5,105,5,105,5,105
2022/10/17,10,Workout B,StrongLifts 5×5,86,Overhead Press,5×5,,5×60,73.9,25,1500,4825.0,0.7,6:35 pm,7:34 pm,"",5,60,5,60,5,60,5,60,5,60
2022/10/17,10,Workout B,StrongLifts 5×5,86,Deadlift,1×5,,5×140,172.6,5,700,4825.0,0.7,6:35 pm,7:34 pm,"",5,140,,,,,,,,
2022/10/19,11,Workout A,StrongLifts 5×5,86,Squat,5×5,,5×107.5,132.5,25,2687.5,6562.5,0.93194,5:43 pm,6:40 pm,"",5,107.5,5,107.5,5,107.5,5,107.5,5,107.5
2022/10/19,11,Workout A,StrongLifts 5×5,86,Bench Press,5×5,,5×87.5,107.8,25,2187.5,6562.5,0.93194,5:43 pm,6:40 pm,"",5,87.5,5,87.5,5,87.5,5,87.5,5,87.5
2022/10/19,11,Workout A,StrongLifts 5×5,86,Barbell Row,5×5,,5×67.5,83.2,25,1687.5,6562.5,0.93194,5:43 pm,6:40 pm,"",5,67.5,5,67.5,5,67.5,5,67.5,5,67.5
2022/10/22,12,Workout B,StrongLifts 5×5,86,Squat,5×5,,5×110,135.6,25,2750,5006.25,0.88111,11:07 am,12:43 pm,"",5,110,5,110,5,110,5,110,5,110
2022/10/22,12,Workout B,StrongLifts 5×5,86,Overhead Press,5×5,,5×61.25,75.5,25,1531.2,5006.25,0.88111,11:07 am,12:43 pm,"",5,61.25,5,61.25,5,61.25,5,61.25,5,61.25
2022/10/22,12,Workout B,StrongLifts 5×5,86,Deadlift,1×5,,5×145,178.7,5,725,5006.25,0.88111,11:07 am,12:43 pm,"",5,145,,,,,,,,
2022/10/24,13,Workout A,StrongLifts 5×5,86,Squat,5×5,,5×112.5,138.7,25,2812.5,6812.5,0.95722,5:34 pm,6:32 pm,"",5,112.5,5,112.5,5,112.5,5,112.5,5,112.5
2022/10/24,13,Workout A,StrongLifts 5×5,86,Bench Press,5×5,,5×90,110.9,25,2250,6812.5,0.95722,5:34 pm,6:32 pm,"",5,90,5,90,5,90,5,90,5,90
2022/10/24,13,Workout A,StrongLifts 5×5,86,Barbell Row,5×5,,5×70,86.3,25,1750,6812.5,0.95722,5:34 pm,6:32 pm,"",5,70,5,70,5,70,5,70,5,70
2022/10/26,14,Workout B,StrongLifts 5×5,86,Squat,5×5,,5×115,141.8,25,2875,5187.5,0.83528,6:36 pm,7:32 pm,"",5,115,5,115,5,115,5,115,5,115
2022/10/26,14,Workout B,StrongLifts 5×5,86,Overhead Press,5×5,,5×62.5,77,25,1562.5,5187.5,0.83528,6:36 pm,7:32 pm,"",5,62.5,5,62.5,5,62.5,5,62.5,5,62.5
2022/10/26,14,Workout B,StrongLifts 5×5,86,Deadlift,1×5,,5×150,184.9,5,750,5187.5,0.83528,6:36 pm,7:32 pm,"",5,150,,,,,,,,
2022/10/28,15,Workout A,StrongLifts 5×5,86,Squat,5×5,,5×117.5,144.8,25,2937.5,7062.5,0.90917,6:01 pm,6:55 pm,"",5,117.5,5,117.5,5,117.5,5,117.5,5,117.5
2022/10/28,15,Workout A,StrongLifts 5×5,86,Bench Press,5×5,,5×92.5,114,25,2312.5,7062.5,0.90917,6:01 pm,6:55 pm,"",5,92.5,5,92.5,5,92.5,5,92.5,5,92.5
2022/10/28,15,Workout A,StrongLifts 5×5,86,Barbell Row,5×5,,5×72.5,89.3,25,1812.5,7062.5,0.90917,6:01 pm,6:55 pm,"",5,72.5,5,72.5,5,72.5,5,72.5,5,72.5
2022/11/04,16,Workout A,StrongLifts 5×5,86,Squat,5×5,,5×120,147.9,25,3000,7187.5,0.67667,5:31 pm,7:13 pm,"",5,120,5,120,5,120,5,120,5,120
2022/11/04,16,Workout A,StrongLifts 5×5,86,Bench Press,5×5,,5×92.5,114,25,2312.5,7187.5,0.67667,5:31 pm,7:13 pm,"",5,92.5,5,92.5,5,92.5,5,92.5,5,92.5
2022/11/04,16,Workout A,StrongLifts 5×5,86,Barbell Row,5×5,,5×75,92.4,25,1875,7187.5,0.67667,5:31 pm,7:13 pm,"",5,75,5,75,5,75,5,75,5,75